sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	insert_size	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
BTP_151	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.151Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.151Body.swab.fastq.gz	
BTP_152	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.152Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.152Body.swab.fastq.gz	
BTP_153	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.Female.BTP.153Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.Female.BTP.153Body.swab.fastq.gz	
BTP_2	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.2Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.2Egg.swab.fastq.gz	
BTP_3	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.3Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.3Egg.swab.fastq.gz	
BTP_4	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.4Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.4Egg.swab.fastq.gz	
BTP_5	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.5Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.5Mouth.fastq.gz	
BTP_57	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Water.BTP.57Water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Water.BTP.57Water.fastq.gz	
BTP_59	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.59Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.59Sediment.fastq.gz	
BTP_6	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.6Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.6Skin.fastq.gz	
BTP_60	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.60Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.60Sediment.fastq.gz	
BTP_61	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.61Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.61Egg.swab.fastq.gz	
BTP_62	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.62Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.62Egg.swab.fastq.gz	
BTP_63	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.63Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.63Egg.swab.fastq.gz	
BTP_64	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.64Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.64Egg.swab.fastq.gz	
BTP_65	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.65Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Eggs.BTP.65Egg.swab.fastq.gz	
BTP_66	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.66Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.66Body.swab.fastq.gz	
BTP_67	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.67Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.67Body.swab.fastq.gz	
BTP_68	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.68Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.68Body.swab.fastq.gz	
BTP_69	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.69Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.69Body.swab.fastq.gz	
BTP_7	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.7Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.7Mouth.fastq.gz	
BTP_70	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.70Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.70Body.swab.fastq.gz	
BTP_71	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.71Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.71Body.swab.fastq.gz	
BTP_72	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.72Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.72Body.swab.fastq.gz	
BTP_72.1	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.72.1Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.72.1Body.swab.fastq.gz	
BTP_73	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Juvenile.BTP.73BD.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Juvenile.BTP.73BD.swab.fastq.gz	
BTP_74	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Juvenile.BTP.74Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Juvenile.BTP.74Skin.fastq.gz	
BTP_75	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Juvenile.BTP.75Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Juvenile.BTP.75Mouth.fastq.gz	
BTP_8	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.8Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.8Skin.fastq.gz	
BTP_9	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.9Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.9Mouth.fastq.gz	
BTP_31	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.male.BTP.31Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.male.BTP.31Mouth.fastq.gz	
BTP_32	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.male.BTP.32Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.male.BTP.32Skin.fastq.gz	
BTP_33	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.33Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.33Mouth.fastq.gz	
BTP_34	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.34Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.34Skin.fastq.gz	
BTP_35	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.35Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.35Mouth.fastq.gz	
BTP_36	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.36Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.36Skin.fastq.gz	
BTP_36.1	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.36.1Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.36.1Mouth.fastq.gz	
BTP_36.2	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.36.2Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Subadult.BTP.36.2Skin.fastq.gz	
