otu.names	W_stat	W_f	Adult_relAbund	Eggs_relAbund	Metamorph_relAbund	Subadult_relAbund	Tadpole_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
7	OTU_15	37	2.79651751693048	0.00595623041016372	0.00223214285714286	0.0493382938607073	0	0.0178503530574981	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
37	OTU_377	36	2.3774656966253	0.000114468864468864	0.00985442965156523	4.5766590389016e-05	0	0.0108583996154705	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
25	OTU_34	36	2.05427919633268	0.00163087812355347	0.000546108459294617	0.0112308538570947	0	0.0456238892929918	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
50	OTU_903	36	0.691229841862445	0.00015625	0.000499001996007984	0.00159076661892884	0	0.00505688636223968	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
41	OTU_417	36	0.368874898779334	0.00318627450980392	0.0616747211819332	0.00146770226631534	0.00174913540835329	0.00469981073134672	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
51	OTU_145	35	2.52339521950753	0.00424448482980963	0	0.00356494541331435	0.00426181081886957	0.00217375538543171	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
14	OTU_161	35	0.814402906554928	0	0.00255102040816327	0.00506410097372558	0	0.0426558691920229	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
18	OTU_252	34	18.5593035919758	0.00658953294621423	0	0	0.020659195485944	0.000180410979082976	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
22	OTU_16	34	10.4606518786383	0.0252185775180502	0.0268184464404524	0.000466200466200466	0.00111731843575419	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
26	OTU_5584	34	5.94405397609537	0.00642101063037384	0.00351863858391667	0	0	0.00163779850228574	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
11	OTU_11	34	3.10400778444602	0.0284930338354667	0.0161020516127587	0.00974222811017981	0.0506463371773829	0.0352770366594581	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
52	OTU_95	34	2.00912070118612	0.000572344322344322	0.0196868315066473	0.0326754135952425	0.000801603206412826	0.0315640317531519	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
48	OTU_6369	33	9.52705959316525	0.00860433685737918	0	0.000365853658536585	0.00119047619047619	0.00113800508021286	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
23	OTU_27	33	6.39832563880435	0.00383494665008728	0.000558035714285714	0	0.00279329608938547	0.000425750356249469	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
16	OTU_13	33	2.17344151426508	0.00668504692374434	0.0123169286427146	0	0	0.025525103195678	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
49	OTU_125	32	10.8078256487912	0.0132568229990969	0	0	0.000558659217877095	0.00167609167249718	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
28	OTU_76	32	6.13993304300064	0.0247003708626721	0	9.32400932400932e-05	0.00391061452513967	0.010261620937306	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
44	OTU_246	31	5.8242287184764	0.00353802798921872	0	0.00147300091462004	0.0380874137364443	0.00108988136359372	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
47	OTU_133	31	5.35688833372722	0.00513704773393235	0.000499001996007984	7.59013282732448e-05	0	0.00116860559035386	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
42	OTU_6135	31	1.53155957023239	0.00241212497811488	0.000500690607734807	0	0.000400801603206413	0.00241597986260461	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
13	OTU_6105	28	2.14950877612689	0.0143498399355763	9.85027580772262e-05	0	0	0.0159417980782723	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
38	OTU_37	27	0.816741388790926	0.00281424807711517	0.0373194653719516	0.0178991182260457	0.0259098283146379	0.0310067654988157	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
10	OTU_56	26	7.18329906659399	0.0141210527050881	0.000657786874408322	0.00444937572947308	0.00240480961923848	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
12	OTU_84	25	3.24825300632754	0.00608527626883141	0.00368777750621207	0.00575935181522899	0	0.000981743874219938	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
27	OTU_171	23	0.313677306514495	0.00472864169578202	0.0166295322152998	0.00687695953905207	0.00346020761245675	0.0181468013387584	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
4	OTU_4	21	3.86054956048551	0.148789928716067	0.108875248679882	0.0866918180365917	0.150110446732074	0.0817301434159396	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
35	OTU_25	15	1.45471546778715	0.00848893738857063	0.0259762925952823	0.0258532267964091	0.0102995829381562	0.0244799865911558	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1	OTU_3	6	0.814319517524477	0.0182756549135214	0.0125720936235288	0.0148684597334067	0.00582822678857938	0.0530543909290393	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
3	OTU_1	0	2.09184537681864	0.313917141437616	0.177815210217162	0.241666711427894	0.465495709825161	0.271280261645318	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
